tempo,stateEstimate.x,stateEstimate.y,stateEstimate.z,pm.batteryLevel,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,
27066,5.857465,2.286272,0.053822,10.000000,0.423670,0.789340,14.279738,
27076,5.858816,2.286870,0.053894,10.000000,0.347872,0.374825,14.281786,
27086,5.858095,2.286677,0.055635,10.000000,0.355692,0.621725,14.257163,
27096,5.858382,2.286499,0.055713,10.000000,0.424217,0.564365,14.267858,
27106,5.857426,2.286257,0.056191,10.000000,0.411483,0.834075,14.246516,
27116,5.858550,2.286799,0.055339,10.000000,0.341292,0.471679,14.222843,
27126,5.858073,2.286677,0.056000,10.000000,0.350473,0.633143,14.198867,
27136,5.858072,2.286682,0.056052,10.000000,0.356562,0.629389,14.186714,
27146,5.858065,2.286680,0.056102,10.000000,0.363922,0.632595,14.174372,
27156,5.858066,2.286678,0.056151,10.000000,0.369747,0.630899,14.163058,
27166,5.858313,2.286747,0.055728,10.000000,0.371091,0.561082,14.163224,
27176,5.858075,2.286692,0.055846,10.000000,0.373691,0.635974,14.133489,
27186,5.858072,2.286692,0.055878,10.000000,0.372976,0.636865,14.119817,
27196,5.857427,2.286282,0.055813,10.000000,0.436637,0.818902,14.094867,
27206,5.858317,2.286764,0.055498,10.000000,0.359958,0.518880,14.098093,
27216,5.858312,2.286760,0.055596,10.000000,0.366155,0.546467,14.083481,
27226,5.858310,2.286759,0.055653,10.000000,0.369213,0.565534,14.068868,
27236,5.857410,2.286278,0.056002,10.000000,0.435788,0.833411,14.053096,
27246,5.857396,2.286272,0.056397,10.000000,0.422384,0.785038,14.037707,
27256,5.858531,2.286814,0.055587,10.000000,0.349517,0.429442,14.020673,
27266,5.857377,2.286260,0.057686,10.000000,0.421222,0.794439,14.014256,
27276,5.857792,2.286613,0.058541,10.000000,0.348777,0.623800,13.997373,
27286,5.857378,2.286252,0.058930,10.000000,0.422491,0.746771,13.977160,
27296,5.858290,2.286742,0.057288,10.000000,0.351287,0.463642,13.971768,
27306,5.857383,2.286248,0.058686,10.000000,0.426140,0.753918,13.956800,
27316,5.857798,2.286597,0.059387,10.000000,0.356797,0.594708,13.938485,
27326,5.857791,2.286592,0.059589,10.000000,0.366350,0.603771,13.926114,
27336,5.857790,2.286590,0.059780,10.000000,0.373192,0.607473,13.912767,
27346,5.858541,2.286798,0.056647,10.000000,0.378341,0.424671,13.927258,
