'tempo': 26506,{'stateEstimate.x': 5.8581862449646, 'stateEstimate.y': 2.2866456508636475, 'stateEstimate.z': 0.05545276403427124, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3587523400783539, 'stabilizer.pitch': 0.5572366714477539, 'stabilizer.yaw': 15.110552787780762}#
'tempo': 26516,{'stateEstimate.x': 5.858420372009277, 'stateEstimate.y': 2.286707639694214, 'stateEstimate.z': 0.05546268820762634, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36219099164009094, 'stabilizer.pitch': 0.506812572479248, 'stabilizer.yaw': 15.11117935180664}#
'tempo': 26526,{'stateEstimate.x': 5.857533931732178, 'stateEstimate.y': 2.286214828491211, 'stateEstimate.z': 0.05618474632501602, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.4270576238632202, 'stabilizer.pitch': 0.783373236656189, 'stabilizer.yaw': 15.061578750610352}#
'tempo': 26536,{'stateEstimate.x': 5.858400821685791, 'stateEstimate.y': 2.2866976261138916, 'stateEstimate.z': 0.05666465684771538, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3509228825569153, 'stabilizer.pitch': 0.4906902015209198, 'stabilizer.yaw': 15.076692581176758}#
'tempo': 26546,{'stateEstimate.x': 5.85792350769043, 'stateEstimate.y': 2.2865686416625977, 'stateEstimate.z': 0.05722635239362717, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3556520938873291, 'stabilizer.pitch': 0.6449850797653198, 'stabilizer.yaw': 15.02935791015625}#
'tempo': 26556,{'stateEstimate.x': 5.858394145965576, 'stateEstimate.y': 2.286691188812256, 'stateEstimate.z': 0.0575382374227047, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36130887269973755, 'stabilizer.pitch': 0.5117613673210144, 'stabilizer.yaw': 15.053261756896973}#
'tempo': 26566,{'stateEstimate.x': 5.8583879470825195, 'stateEstimate.y': 2.2866909503936768, 'stateEstimate.z': 0.057753607630729675, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36364513635635376, 'stabilizer.pitch': 0.5374389290809631, 'stabilizer.yaw': 15.0339937210083}#
'tempo': 26576,{'stateEstimate.x': 5.858407020568848, 'stateEstimate.y': 2.286708116531372, 'stateEstimate.z': 0.05602499842643738, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3657151162624359, 'stabilizer.pitch': 0.5520327687263489, 'stabilizer.yaw': 15.015795707702637}#
'tempo': 26586,{'stateEstimate.x': 5.857512950897217, 'stateEstimate.y': 2.28621768951416, 'stateEstimate.z': 0.056202493607997894, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.4295893907546997, 'stabilizer.pitch': 0.8226830363273621, 'stabilizer.yaw': 14.970722198486328}#
'tempo': 26596,{'stateEstimate.x': 5.858376979827881, 'stateEstimate.y': 2.286693811416626, 'stateEstimate.z': 0.05814048647880554, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3502952754497528, 'stabilizer.pitch': 0.5196593999862671, 'stabilizer.yaw': 14.988622665405273}#
'tempo': 26606,{'stateEstimate.x': 5.858380317687988, 'stateEstimate.y': 2.2866950035095215, 'stateEstimate.z': 0.05836667865514755, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.35610342025756836, 'stabilizer.pitch': 0.5391474366188049, 'stabilizer.yaw': 14.971649169921875}#
'tempo': 26616,{'stateEstimate.x': 5.8581318855285645, 'stateEstimate.y': 2.286630392074585, 'stateEstimate.z': 0.058688241988420486, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.35880640149116516, 'stabilizer.pitch': 0.6229292750358582, 'stabilizer.yaw': 14.93893814086914}#
'tempo': 26626,{'stateEstimate.x': 5.858389377593994, 'stateEstimate.y': 2.2867062091827393, 'stateEstimate.z': 0.05652949959039688, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36536821722984314, 'stabilizer.pitch': 0.5583912134170532, 'stabilizer.yaw': 14.944801330566406}#
'tempo': 26636,{'stateEstimate.x': 5.8581461906433105, 'stateEstimate.y': 2.286637783050537, 'stateEstimate.z': 0.05665251612663269, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36795344948768616, 'stabilizer.pitch': 0.6363480687141418, 'stabilizer.yaw': 14.908563613891602}#
'tempo': 26646,{'stateEstimate.x': 5.858133316040039, 'stateEstimate.y': 2.286634922027588, 'stateEstimate.z': 0.056708648800849915, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3671683967113495, 'stabilizer.pitch': 0.6371753811836243, 'stabilizer.yaw': 14.893380165100098}#
'tempo': 26656,{'stateEstimate.x': 5.858130931854248, 'stateEstimate.y': 2.286630392074585, 'stateEstimate.z': 0.056765470653772354, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3677526116371155, 'stabilizer.pitch': 0.6383311748504639, 'stabilizer.yaw': 14.8775053024292}#
'tempo': 26666,{'stateEstimate.x': 5.858382701873779, 'stateEstimate.y': 2.286710500717163, 'stateEstimate.z': 0.05533593147993088, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36683616042137146, 'stabilizer.pitch': 0.5720721483230591, 'stabilizer.yaw': 14.881335258483887}#
'tempo': 26676,{'stateEstimate.x': 5.8581366539001465, 'stateEstimate.y': 2.2866499423980713, 'stateEstimate.z': 0.055393848568201065, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3672165274620056, 'stabilizer.pitch': 0.6481344103813171, 'stabilizer.yaw': 14.845732688903809}#
'tempo': 26686,{'stateEstimate.x': 5.858132839202881, 'stateEstimate.y': 2.2866463661193848, 'stateEstimate.z': 0.05537843331694603, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3666556775569916, 'stabilizer.pitch': 0.6495694518089294, 'stabilizer.yaw': 14.830628395080566}#
'tempo': 26696,{'stateEstimate.x': 5.85813045501709, 'stateEstimate.y': 2.286646604537964, 'stateEstimate.z': 0.05535995215177536, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36599791049957275, 'stabilizer.pitch': 0.6484709978103638, 'stabilizer.yaw': 14.815378189086914}#
'tempo': 26706,{'stateEstimate.x': 5.858128547668457, 'stateEstimate.y': 2.286651849746704, 'stateEstimate.z': 0.05534260720014572, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36364680528640747, 'stabilizer.pitch': 0.6483311653137207, 'stabilizer.yaw': 14.799808502197266}#
'tempo': 26716,{'stateEstimate.x': 5.85837459564209, 'stateEstimate.y': 2.286726236343384, 'stateEstimate.z': 0.053937118500471115, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36352941393852234, 'stabilizer.pitch': 0.5853614211082458, 'stabilizer.yaw': 14.802456855773926}#
'tempo': 26726,{'stateEstimate.x': 5.858143329620361, 'stateEstimate.y': 2.2866649627685547, 'stateEstimate.z': 0.05394860357046127, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3648231327533722, 'stabilizer.pitch': 0.6585372686386108, 'stabilizer.yaw': 14.767245292663574}#
'tempo': 26736,{'stateEstimate.x': 5.858152389526367, 'stateEstimate.y': 2.2866718769073486, 'stateEstimate.z': 0.0538628026843071, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3645803928375244, 'stabilizer.pitch': 0.656703770160675, 'stabilizer.yaw': 14.753494262695312}#
'tempo': 26746,{'stateEstimate.x': 5.858395576477051, 'stateEstimate.y': 2.2867372035980225, 'stateEstimate.z': 0.053789544850587845, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36449557542800903, 'stabilizer.pitch': 0.5878781676292419, 'stabilizer.yaw': 14.756786346435547}#
'tempo': 26756,{'stateEstimate.x': 5.858401775360107, 'stateEstimate.y': 2.286745309829712, 'stateEstimate.z': 0.05300356447696686, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3645399212837219, 'stabilizer.pitch': 0.6022033095359802, 'stabilizer.yaw': 14.739045143127441}#
'tempo': 26766,{'stateEstimate.x': 5.858399868011475, 'stateEstimate.y': 2.2867462635040283, 'stateEstimate.z': 0.05289112403988838, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36618971824645996, 'stabilizer.pitch': 0.614507794380188, 'stabilizer.yaw': 14.721362113952637}#
'tempo': 26776,{'stateEstimate.x': 5.85756778717041, 'stateEstimate.y': 2.286017417907715, 'stateEstimate.z': 0.0528385266661644, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.4950810670852661, 'stabilizer.pitch': 0.8744091987609863, 'stabilizer.yaw': 14.663877487182617}#
